epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr
1,1.367147637374235,0.3664586998713322,0.2728824654232451,1.2090632579265497,0.5192689100901285,0.41215119504521036,0.0002
2,1.2125283754788911,0.5298467053598537,0.4288061237160539,1.179158969822093,0.46390680777720916,0.3572658555120484,0.0002
3,1.143552120351966,0.5781829317847451,0.4761567080850566,1.066663089980427,0.5909111560919346,0.4939946792064569,0.0002
4,1.0812657503854661,0.5993922481606732,0.5035998048363152,1.0269505238940573,0.6433656236045381,0.5596035092304914,0.0002
5,1.0228510446600863,0.6324426623491141,0.5410070757726173,1.000226294892466,0.6123594692629627,0.5191342901979756,0.0002
6,0.9692686274374798,0.649565081456642,0.5595363954921345,0.9496189523965884,0.6496768532655178,0.5596410774777079,0.0002
7,0.9290092497954875,0.6660916150271238,0.577249200134487,0.9043368615655818,0.6271895577764919,0.5390597255820901,0.0002
8,0.8834966779191852,0.6524036583446321,0.5654538088229113,0.8447167537151239,0.6319580969647465,0.5498246086968316,0.0002
9,0.8267641093704726,0.7006936079853183,0.6155595318738357,0.8332117622734135,0.6899951798284155,0.6079970506521372,0.0002
10,0.7846359473008376,0.6817774244280526,0.5989929998750652,0.8034767569639744,0.6183200157605685,0.5446726114321978,0.0002
11,0.7672878150101546,0.6777613697907864,0.5923036839062478,0.7737101856459919,0.6762235694461398,0.5957958321286063,0.0002
12,0.7083511169140155,0.7278394540805957,0.6472497543135842,0.7460022033789219,0.6860252088970609,0.6140547221542424,0.0001
13,0.6597799250494429,0.7701441412006979,0.6944046457171876,0.6932209740337144,0.7294384088271704,0.6652404238016177,0.0001
14,0.6352871911866325,0.7739293463937529,0.7008225813016786,0.6641438053204463,0.7045632957393287,0.6390968143430531,0.0001
15,0.6054341891309717,0.7894422735050047,0.7179033972404816,0.6645033410471729,0.7211854610687647,0.6529183841159201,0.0001
